date,event_type,events,users_chunk_sum,revenue
2019-10-27,purchase,23403,17328,7198460.82
2019-10-27,view,1330894,214023,0.0
2019-10-28,cart,17838,9721,0.0
2019-10-28,purchase,21112,15863,6591728.24
2019-10-28,view,1221930,209619,0.0
2019-10-29,cart,17455,9501,0.0
2019-10-29,purchase,20374,15158,6433438.43
2019-10-29,view,1190081,203191,0.0
2019-10-30,cart,16996,9348,0.0
2019-10-30,purchase,20817,15374,6634069.51
2019-10-30,view,1172332,199126,0.0
2019-10-31,cart,16798,9372,0.0
2019-10-31,purchase,20099,15201,6456465.8
2019-10-31,view,1208582,210553,0.0
2019-11-01,cart,18911,10713,0.0
2019-11-01,purchase,22458,16686,6949415.03
2019-11-01,view,1403991,236314,0.0
2019-11-02,cart,19350,10772,0.0
2019-11-02,purchase,21864,16717,6389808.37
2019-11-02,view,1514324,251928,0.0
2019-11-03,cart,20211,11045,0.0
2019-11-03,purchase,22145,16911,6656920.09
2019-11-03,view,1525418,255403,0.0
2019-11-04,cart,21960,12959,0.0
2019-11-04,purchase,26889,20791,8033899.65
2019-11-04,view,1744279,304319,0.0
2019-11-05,cart,19231,11522,0.0
2019-11-05,purchase,24875,18993,7250120.41
2019-11-05,view,1673138,285157,0.0
2019-11-06,cart,19670,11579,0.0
2019-11-06,purchase,25319,18932,7397760.63
2019-11-06,view,1649832,275105,0.0
2019-11-07,cart,19446,11552,0.0
2019-11-07,purchase,24863,18943,7062018.53
2019-11-07,view,1752524,306008,0.0
2019-11-08,cart,77369,40242,0.0
2019-11-08,purchase,25714,19728,7742039.59
2019-11-08,view,1793319,316272,0.0
2019-11-09,cart,70132,37129,0.0
2019-11-09,purchase,22768,17535,6646804.300000001
2019-11-09,view,1785006,296617,0.0
2019-11-10,cart,71590,37731,0.0
2019-11-10,purchase,22878,17719,6633475.29
2019-11-10,view,1846107,304278,0.0
2019-11-11,cart,75164,39855,0.0
2019-11-11,purchase,24931,18925,7255189.94
2019-11-11,view,1909295,323304,0.0
2019-11-12,cart,69711,37450,0.0
2019-11-12,purchase,22725,17097,6782115.2
2019-11-12,view,1895133,316130,0.0
2019-11-13,cart,71650,38089,0.0
2019-11-13,purchase,22548,17046,6812879.7700000005
2019-11-13,view,1924967,316823,0.0
2019-11-14,cart,170472,71255,0.0
2019-11-14,purchase,22124,16664,6949925.13
2019-11-14,view,2877130,370270,0.0
2019-11-15,cart,483305,206405,0.0
2019-11-15,view,5737111,563384,0.0
2019-11-16,cart,406778,187839,0.0
2019-11-16,purchase,68247,50658,23442969.87
2019-11-16,view,6027932,723260,0.0
2019-11-17,cart,426941,195860,0.0
2019-11-17,purchase,185195,134367,57774481.92
2019-11-17,view,5783241,717058,0.0
2019-11-18,cart,83197,43259,0.0
2019-11-18,purchase,28537,21145,8251007.899999999
2019-11-18,view,1909778,361273,0.0
2019-11-19,cart,72545,37120,0.0
2019-11-19,purchase,24967,18495,7291407.76
2019-11-19,view,1631029,318611,0.0
2019-11-20,cart,72404,36056,0.0
2019-11-20,purchase,24947,18306,7089210.27
2019-11-20,view,1602735,313285,0.0
2019-11-21,cart,75581,36577,0.0
2019-11-21,purchase,25266,18540,6970110.37
2019-11-21,view,1576489,307843,0.0
2019-11-22,cart,70216,34802,0.0
2019-11-22,purchase,24187,17995,6990846.23
2019-11-22,view,1473840,271209,0.0
2019-11-23,cart,64816,31940,0.0
2019-11-23,purchase,22243,16269,6339110.07
2019-11-23,view,1474657,266559,0.0
2019-11-24,cart,68109,33165,0.0
2019-11-24,purchase,23163,17099,6470750.899999999
2019-11-24,view,1500493,261233,0.0
2019-11-25,cart,71433,35024,0.0
2019-11-25,purchase,24827,18162,7053766.6
2019-11-25,view,1497322,276311,0.0
2019-11-26,cart,71645,35668,0.0
2019-11-26,purchase,24226,17788,6893392.909999999
2019-11-26,view,1559008,272035,0.0
2019-11-27,cart,71397,36410,0.0
2019-11-27,purchase,24443,18262,7161341.26
2019-11-27,view,1550616,279671,0.0
2019-11-28,cart,71541,36136,0.0
2019-11-28,purchase,24305,17971,7163831.66
2019-11-28,view,1562532,272269,0.0
2019-11-29,cart,92394,45945,0.0
2019-11-29,purchase,32107,23915,9635318.38
2019-11-29,view,1729925,314036,0.0
2019-11-30,cart,81761,40821,0.0
2019-11-30,purchase,28178,20898,8104972.47
2019-11-30,view,1644939,281199,0.0
2019-12-01,cart,84498,40627,0.0
2019-12-01,purchase,28345,21208,8153753.43
2019-12-01,view,1708437,278301,0.0
2019-12-02,cart,80904,39381,0.0
2019-12-02,purchase,28548,21104,8320964.96
2019-12-02,view,1631595,269173,0.0
2019-12-03,cart,70230,35422,0.0
2019-12-03,purchase,24358,18117,7367826.76
2019-12-03,view,1550217,280389,0.0
2019-12-04,cart,66768,33565,0.0
2019-12-04,purchase,24473,17804,7370625.26
2019-12-04,view,1470671,252393,0.0
2019-12-05,cart,71093,35855,0.0
2019-12-05,purchase,25469,18392,7519208.14
2019-12-05,view,1542044,270206,0.0
2019-12-06,cart,83688,42052,0.0
